metric,region,state,mean,std,min,max
RMSD,protein,normal,5.507575988769531,1.5701395273208618,0.0,7.726063251495361
RMSD,domain_233_360,normal,4.488070964813232,1.1717969179153442,0.0,6.793881416320801
RMSD,epitope_323_337,normal,5.953771114349365,2.59765625,0.0,13.251404762268066
Rg,protein,normal,32.75937906065399,0.3720691762201255,,
Rg,domain_233_360,normal,23.549975742113492,0.7004847366935655,,
Rg,epitope_323_337,normal,7.893191451714437,0.07588830997803385,,
RMSF,protein,normal,0.4868848551859531,0.265992492964777,,1.6980152130126953
RMSF,domain_233_360,normal,0.5161807220429182,0.22282448380272007,,1.1659202575683594
RMSF,epitope_323_337,normal,0.9608575693766278,0.11179093810720057,,1.1659202575683594
